CodeSection,fips,total,black_percent,hispanic_percent,Black (Non-Hispanic),White (Non-Hispanic),Hispanic,American Indian or Alaskan Native,Asian or Pacific Islander,MISSING,Other
ZONING: 1001(A),810,1,0,0,0,1,0,0,0,0,0
ZONING CHAP 25,711,2,0,0,0,2,0,0,0,0,0
ZONING 33-3,730,2,0,0,0,0,0,0,0,0,2
ZONING 212(C),810,1,0,0,0,1,0,0,0,0,0
ZON. ORID. 1960,650,1,0,0,0,1,0,0,0,0,0
Z18.2-91,13,1,0,0,0,1,0,0,0,0,0
Z.46.2-391,680,1,0,0,0,1,0,0,0,0,0
Z.18.2-94,13,2,100,0,2,0,0,0,0,0,0
Z.18.2-92,680,4,0,0,0,4,0,0,0,0,0
Z.18.2-91,23,198,30.3,2.02,60,130,4,0,0,0,4
Z.18.2-90,740,13,53.85,7.69,7,5,1,0,0,0,0
Z.18.2-89,740,30,56.67,0,17,13,0,0,0,0,0
Z.18.2-70,13,1,100,0,1,0,0,0,0,0,0
Z.18.2-58.1,710,1,100,0,1,0,0,0,0,0,0
Z.18.2-58,73,2,50,0,1,1,0,0,0,0,0
Z.18.2-53.1,770,1,100,0,1,0,0,0,0,0,0
Z.18.2-48,740,1,100,0,1,0,0,0,0,0,0
Z.18.2-47,740,39,61.54,0,24,15,0,0,0,0,0
Z.18.2-32,740,33,66.67,3.03,22,10,1,0,0,0,0
Z.18.2-31,710,8,100,0,8,0,0,0,0,0,0
Z.18.2-147.1,550,1,0,0,0,1,0,0,0,0,0
Z.18.2-102,690,1,0,0,0,1,0,0,0,0,0
YVAC-15-320-25,169,1,0,0,0,1,0,0,0,0,0
Y9-8,711,1,100,0,1,0,0,0,0,0,0
X.18.2-266,640,1,0,100,0,0,1,0,0,0,0
X,145,1,0,0,0,1,0,0,0,0,0
WVAC20-262-30,93,1,0,0,0,1,0,0,0,0,0
WP10-5,101,2,0,0,0,2,0,0,0,0,0
WP 14-101,101,1,0,0,0,1,0,0,0,0,0
WP 10-5,101,1,0,0,0,1,0,0,0,0,0
WISE CO.4-51,195,1,100,0,1,0,0,0,0,0,0
WISE CO 4-51,195,6,100,0,6,0,0,0,0,0,0
WISE CO 4-21,195,3,100,0,3,0,0,0,0,0,0
WCO #02-07,195,1,0,0,0,1,0,0,0,0,0
WC/ORD. 1-1975,195,6,0,0,0,6,0,0,0,0,0
W-200,711,1,100,0,1,0,0,0,0,0,0
VVAC15-90-231,83,1,100,0,1,0,0,0,0,0,0
VUSBC-105.1,711,1,0,0,0,1,0,0,0,0,0
VUC504.1,711,1,0,0,0,1,0,0,0,0,0
VSFPC901.6,153,1,0,0,0,1,0,0,0,0,0
VSFPC3301.1.3,107,1,0,0,0,1,0,0,0,0,0
VSFPC1908.6,153,1,0,100,0,0,1,0,0,0,0
VSFPC1908.4,153,1,0,100,0,0,1,0,0,0,0
VSFPC1030.2,153,1,0,0,0,1,0,0,0,0,0
VSFPC1011.1,153,1,100,0,1,0,0,0,0,0,0
VSFPC 5003.3,165,3,0,33.33,0,1,1,0,0,0,1
VSFC 1001.3,153,1,0,0,0,1,0,0,0,0,0
VR325-04-1-1,67,1,0,0,0,1,0,0,0,0,0
VPMC 505.1,5,2,100,0,2,0,0,0,0,0,0
VNC 305.3,711,1,0,0,0,1,0,0,0,0,0
VMR,161,1,0,0,0,1,0,0,0,0,0
VMC704.2,711,1,0,0,0,0,0,0,0,0,1
VMC605.1,711,1,0,0,0,0,0,0,0,0,1
VMC604.1,711,1,0,0,0,1,0,0,0,0,0
VMC601.2,701,1,100,0,1,0,0,0,0,0,0
VMC504.3,711,1,0,0,0,0,0,0,0,0,1
VMC305.1,701,2,50,0,1,0,0,0,0,0,1
VMC304.6,711,1,0,0,0,1,0,0,0,0,0
VMC304.2,711,1,0,0,0,0,0,0,0,0,1
VMC304.10,711,2,0,0,0,1,0,0,0,0,1
VMC304.1:13-23,701,1,0,0,0,1,0,0,0,0,0
VMC304.1,701,2,0,0,0,0,0,0,0,2,0
VMC302.7,701,1,0,0,0,0,0,0,0,1,0
VMC2012,680,1,100,0,1,0,0,0,0,0,0
VMC105,570,1,0,0,0,1,0,0,0,0,0
VMC.302.7,701,1,0,0,0,1,0,0,0,0,0
VMC:302.7,701,1,100,0,1,0,0,0,0,0,0
VMC 605.1,711,1,0,0,0,0,0,0,0,0,1
VMC 304.7,701,2,50,0,1,0,0,0,0,0,1
VMC 304.6,701,1,0,0,0,1,0,0,0,0,0
VMC 304.2,711,1,0,0,0,1,0,0,0,0,0
VMC 304.15,701,1,0,0,0,1,0,0,0,0,0
VMC 304.12,790,2,0,0,0,2,0,0,0,0,0
VMC 302.7,790,4,0,0,0,4,0,0,0,0,0
VMC 301.3,155,7,0,0,0,4,0,0,0,3,0
VIO5320F6,179,1,0,0,0,1,0,0,0,0,0
VIII6B,99,1,0,0,0,1,0,0,0,0,0
VII6B(I),99,1,0,0,0,1,0,0,0,0,0
VII4A,193,2,0,0,0,2,0,0,0,0,0
VII2A,193,1,0,0,0,1,0,0,0,0,0
VI5A,193,29,20.69,65.52,6,2,19,0,0,0,2
VI59,193,7,0,57.14,0,3,4,0,0,0,0
VI4D,99,1,0,0,0,1,0,0,0,0,0
VI4(B),193,1,0,100,0,0,1,0,0,0,0
VI.5-A,193,1,0,0,0,1,0,0,0,0,0
VI.2.C,59,1,0,0,0,1,0,0,0,0,0
VI-5-A,193,1,0,100,0,0,1,0,0,0,0
VI 5 A,99,1,0,0,0,1,0,0,0,0,0
VFPC906.2,810,1,0,0,0,0,0,0,0,0,1
VFPC904.5,810,1,0,0,0,0,0,0,0,0,1
VFPC609.3.3.2,810,1,0,0,0,0,0,0,0,0,1
VFPC3301.1.3,107,1,0,0,0,1,0,0,0,0,0
VFPC 904.1.1,107,1,0,0,0,1,0,0,0,0,0
VFPC 5603.3,810,1,0,0,0,1,0,0,0,0,0
VCC 116.1,99,1,0,0,0,1,0,0,0,0,0
VCC 108.1,99,1,0,0,0,1,0,0,0,0,0
VB CODE 12-41,810,3,0,0,0,3,0,0,0,0,0
VACLOC2050C,1,1,0,0,0,1,0,0,0,0,0
VACC15-420-40,1,1,0,0,0,1,0,0,0,0,0
VACC,191,1,0,0,0,1,0,0,0,0,0
VAC5-430-30,141,1,0,0,0,1,0,0,0,0,0
VAC304.2(13-23),701,1,100,0,1,0,0,0,0,0,0
VAC2062050,650,1,0,0,0,1,0,0,0,0,0
VAC2062010,1,1,0,0,0,1,0,0,0,0,0
VAC20252120D,650,1,0,0,0,1,0,0,0,0,0
VAC20-950-30,710,1,100,0,1,0,0,0,0,0,0
VAC20-380-60-A,115,1,0,0,0,1,0,0,0,0,0
VAC20-380-60,650,2,50,0,1,1,0,0,0,0,0
VAC20-280-30B,57,1,0,100,0,0,1,0,0,0,0
VAC20-280-30,73,1,100,0,1,0,0,0,0,0,0
VAC20-252-50,810,1,0,0,0,0,0,0,1,0,0
VAC20-252-30,800,1,100,0,1,0,0,0,0,0,0
VAC20-1240-30,131,1,0,0,0,0,0,0,0,0,1
VAC1590231A,103,1,100,0,1,0,0,0,0,0,0
VAC1540283,125,1,0,0,0,1,0,0,0,0,0
VAC1535060,175,1,0,0,0,1,0,0,0,0,0
VAC15260-30,1,3,0,0,0,3,0,0,0,0,0
VAC15-90-231C,173,1,0,0,0,1,0,0,0,0,0
VAC15-90-231B,75,2,0,0,0,2,0,0,0,0,0
VAC15-90-231A,57,1,0,0,0,1,0,0,0,0,0
VAC15-90-231(B),125,1,100,0,1,0,0,0,0,0,0
VAC15-90-231,680,11,0,0,0,11,0,0,0,0,0
VAC15-430-80A,119,1,0,0,0,1,0,0,0,0,0
VAC15-430-40,1,1,0,100,0,0,1,0,0,0,0
VAC15-430-30B,119,1,0,100,0,0,1,0,0,0,0
VAC15-430-30,5,1,0,0,0,1,0,0,0,0,0
VAC15-430-190,119,2,0,0,0,2,0,0,0,0,0
VAC15-403-30C,119,1,0,0,0,1,0,0,0,0,0
VAC15-40-90,173,1,0,0,0,1,0,0,0,0,0
VAC15-40-60(F),5,1,0,0,0,1,0,0,0,0,0
VAC15-40-285,165,2,0,0,0,2,0,0,0,0,0
VAC15-40-280(D),121,2,0,0,0,2,0,0,0,0,0
VAC15-40-280,101,2,0,0,0,2,0,0,0,0,0
VAC15-40-250,143,1,0,0,0,1,0,0,0,0,0
VAC15-40-170,171,1,0,0,0,1,0,0,0,0,0
VAC15-390-40,67,2,0,0,0,2,0,0,0,0,0
VAC15-390-20,177,1,0,0,0,1,0,0,0,0,0
VAC15-390-140,67,4,0,0,0,4,0,0,0,0,0
VAC15-380-50,67,1,0,0,0,1,0,0,0,0,0
VAC15-370(30),89,1,0,0,0,1,0,0,0,0,0
VAC15-370-50,67,5,0,0,0,5,0,0,0,0,0
VAC15-330-80,165,1,0,0,0,1,0,0,0,0,0
VAC15-330-60,195,1,0,0,0,1,0,0,0,0,0
VAC15-32025,195,1,0,0,0,1,0,0,0,0,0
VAC15-320-120,17,1,100,0,1,0,0,0,0,0,0
VAC15-270-10,67,1,0,0,0,1,0,0,0,0,0
VAC15-260-30,57,2,0,0,0,2,0,0,0,0,0
VAC15-240-81B,103,1,0,0,0,1,0,0,0,0,0
VAC15-240-81,63,1,0,0,0,1,0,0,0,0,0
VAC15-20-100,143,3,0,0,0,3,0,0,0,0,0
VAC-20-710,1,1,0,0,0,1,0,0,0,0,0
VAC-15.40.60(F),5,1,0,0,0,1,0,0,0,0,0
VAC-15-90-231 B,165,2,0,0,0,2,0,0,0,0,0
VAC-15-90-231,23,2,0,0,0,2,0,0,0,0,0
VAC-15-430-30,37,1,0,0,0,1,0,0,0,0,0
VAC-15-40-285,75,1,0,0,0,1,0,0,0,0,0
VAC-15-390-140,141,1,0,0,0,1,0,0,0,0,0
VAC-15-370-50,141,1,0,0,0,1,0,0,0,0,0
VAC-15-330-80,171,1,0,0,0,1,0,0,0,0,0
VAC 5-30-276,810,1,0,0,0,1,0,0,0,0,0
VAC 5-30-240,810,1,0,0,0,1,0,0,0,0,0
VAC 15-90-293,35,2,0,0,0,2,0,0,0,0,0
VAC 15-90-231B,73,1,0,0,0,1,0,0,0,0,0
VAC 15-90-231,41,5,0,0,0,5,0,0,0,0,0
VAC 15-90-230B,141,1,0,0,0,1,0,0,0,0,0
VAC 15-90-230,141,1,0,0,0,1,0,0,0,0,0
VAC 15-43-30,141,1,0,0,0,1,0,0,0,0,0
VAC 15-43-190,141,1,0,0,0,1,0,0,0,0,0
VAC 15-40-280,7,1,0,0,0,1,0,0,0,0,0
VAC 15-390-140,141,2,0,0,0,2,0,0,0,0,0
VAC 15-370-50,141,1,0,0,0,1,0,0,0,0,0
VAC 15-260-30,93,1,0,0,0,1,0,0,0,0,0
VAC 15-240-81,53,1,0,0,0,1,0,0,0,0,0
VA5A,193,1,0,0,0,1,0,0,0,0,0
VA28.2-201,810,1,0,0,0,1,0,0,0,0,0
VA10.1-1142B,701,1,100,0,1,0,0,0,0,0,0
VA.28.2-810,701,1,0,0,0,1,0,0,0,0,0
VA.28-2-810,701,1,0,0,0,1,0,0,0,0,0
VA USBC R326.1,73,2,0,0,0,2,0,0,0,0,0
USBC310.1,730,1,0,0,0,0,0,0,1,0,0
USBC115.1/IPMC3,650,1,0,0,0,1,0,0,0,0,0
USBC115.1/IPMC,650,1,0,0,0,1,0,0,0,0,0
USBC-105.1,761,1,100,0,1,0,0,0,0,0,0
USBC R326.1,73,2,0,0,0,2,0,0,0,0,0
USBC 304.2,101,1,0,0,0,1,0,0,0,0,0
USBC 13.3,73,1,0,0,0,1,0,0,0,0,0
USBC 115.3,73,1,0,0,0,1,0,0,0,0,0
USBC 115.1,5,3,0,0,0,3,0,0,0,0,0
USBC 113.3,73,1,0,0,0,1,0,0,0,0,0
USBC 108.1,5,1,0,0,0,1,0,0,0,0,0
USBC  108.1,193,1,0,0,0,1,0,0,0,0,0
UNKNOWN,145,3,33.33,0,1,2,0,0,0,0,0
TRESPASSING,59,1,0,0,0,1,0,0,0,0,0
TP58.2,57,1,0,0,0,1,0,0,0,0,0
TOWN ORDINANCE,51,1,0,0,0,1,0,0,0,0,0
TOWN ORD,195,1,0,0,0,1,0,0,0,0,0
TOWN D-1,51,1,0,0,0,1,0,0,0,0,0
TOWN CODE 58-2,57,1,0,0,0,1,0,0,0,0,0
TOWN 121995,195,1,0,0,0,1,0,0,0,0,0
TOWN 12-1995,195,1,0,0,0,1,0,0,0,0,0
TO56.2/46.2-862,131,1,0,0,0,1,0,0,0,0,0
TO20-217/4-3,195,1,0,0,0,1,0,0,0,0,0
TO13-281,195,1,100,0,1,0,0,0,0,0,0
TO11-1995 4-21,195,1,0,0,0,1,0,0,0,0,0
TO1,51,1,0,0,0,1,0,0,0,0,0
TO#M-1.3,51,1,0,0,0,1,0,0,0,0,0
TO#-D.1,51,2,0,0,0,2,0,0,0,0,0
TO/C46.2-862,131,1,0,0,0,0,0,0,0,0,1
TO/C.46.2-862,131,6,50,0,3,3,0,0,0,0,0
TO/A.46.2-862,131,16,50,6.25,8,4,1,0,2,0,1
TO/A.46.2-852,131,1,100,0,1,0,0,0,0,0,0
TO/46.2-862,131,15,53.33,6.67,8,4,1,0,1,0,1
TO/46.2-300,131,1,0,100,0,0,1,0,0,0,0
TO-117.5,105,8,0,0,0,8,0,0,0,0,0
TO N-1,51,1,0,0,0,1,0,0,0,0,0
TO M1-3,51,1,0,0,0,1,0,0,0,0,0
TO I-D1,51,1,0,0,0,1,0,0,0,0,0
TO 20-4,195,1,0,0,0,1,0,0,0,0,0
TO 13-281,195,1,0,0,0,1,0,0,0,0,0
TITLE1..ART.5 SE,85,2,0,0,0,2,0,0,0,0,0
TITLE 21,77,2,0,0,0,2,0,0,0,0,0
TITLE 1.. ART. 1,85,1,0,0,0,1,0,0,0,0,0
TIT I.. A 5 1.2,85,1,0,0,0,1,0,0,0,0,0
TC9-22,169,2,0,0,0,2,0,0,0,0,0
TC60.6,105,1,0,0,0,1,0,0,0,0,0
TC4-33,107,1,0,0,0,1,0,0,0,0,0
TC.9-22,169,1,0,0,0,1,0,0,0,0,0
TC-26-196,57,1,0,0,0,1,0,0,0,0,0
TC - 26-197,57,1,0,0,0,1,0,0,0,0,0
TAX,711,1,0,0,0,1,0,0,0,0,0
T8.2-96/104,87,1,100,0,1,0,0,0,0,0,0
T2 S6-5,85,1,0,0,0,1,0,0,0,0,0
T1ART5S1.11,85,2,0,0,0,2,0,0,0,0,0
T1A5 SECT. 4.2,85,1,0,0,0,1,0,0,0,0,0
T011-1995,195,1,0,0,0,1,0,0,0,0,0
T-T32,810,1,100,0,1,0,0,0,0,0,0
T-4/M-1.3,51,1,0,0,0,1,0,0,0,0,0
T 1..A 5. S1.11,85,1,0,0,0,1,0,0,0,0,0
SS117-5,105,1,0,0,0,1,0,0,0,0,0
SHOW CAUSE,75,4,100,0,4,0,0,0,0,0,0
SFPC906.6,3,1,0,0,0,1,0,0,0,0,0
SFPC904.11.6.2,650,1,100,0,1,0,0,0,0,0,0
SFPC901.6,510,1,100,0,1,0,0,0,0,0,0
SFPC605.5,650,1,100,0,1,0,0,0,0,0,0
SFPC508.2,510,1,100,0,1,0,0,0,0,0,0
SFPC5003.4,590,1,0,0,0,1,0,0,0,0,0
SFPC407.5,590,1,0,0,0,1,0,0,0,0,0
SFPC407.4,590,1,0,0,0,1,0,0,0,0,0
SFPC305.4,510,1,0,0,0,1,0,0,0,0,0
SFPC304.1,3,1,0,0,0,1,0,0,0,0,0
SFPC2703.3,510,1,0,0,0,1,0,0,0,0,0
SFPC2009-90141,810,1,0,0,0,1,0,0,0,0,0
SFPC1001.3,764,1,0,0,0,0,0,0,1,0,0
SFPC 301.3,670,1,100,0,1,0,0,0,0,0,0
SFPC 107.5,730,1,0,0,0,1,0,0,0,0,0
SFPC 1028.2,730,1,0,0,0,1,0,0,0,0,0
SFAC901.4.3,810,1,0,0,0,1,0,0,0,0,0
SFAC605.6,650,1,100,0,1,0,0,0,0,0,0
SET W/TF,700,1,0,0,0,0,0,0,0,1,0
SEL 22-42,153,1,100,0,1,0,0,0,0,0,0
SECTION 7-32,5,1,0,0,0,1,0,0,0,0,0
SECTION 6-39,5,2,0,0,0,2,0,0,0,0,0
SECTION 6-11,5,1,0,0,0,1,0,0,0,0,0
SECTION 6-10,5,1,100,0,1,0,0,0,0,0,0
SECTION 501B5,810,1,0,0,0,1,0,0,0,0,0
SECTION 4-22,5,1,0,0,0,1,0,0,0,0,0
SECTION 36,119,1,0,0,0,1,0,0,0,0,0
SECTION 30,191,1,0,0,0,1,0,0,0,0,0
SECTION 22,5,1,0,0,0,1,0,0,0,0,0
SECTION 12-21,5,1,0,0,0,1,0,0,0,0,0
SECTION 11-32,93,1,100,0,1,0,0,0,0,0,0
SECTION 10A- 30,47,1,0,0,0,1,0,0,0,0,0
SECTION 105,550,1,100,0,1,0,0,0,0,0,0
SECTION 1-1975,195,1,0,0,0,1,0,0,0,0,0
SECT. 5.2,115,1,0,0,0,1,0,0,0,0,0
SECT. 4-28,195,1,0,0,0,1,0,0,0,0,0
SECT. 20-51,195,1,0,0,0,1,0,0,0,0,0
SECT 41,143,1,100,0,1,0,0,0,0,0,0
SECT 4-40,195,1,0,0,0,1,0,0,0,0,0
SECT 3-39,73,1,0,0,0,1,0,0,0,0,0
SEC7-14/ART III,93,1,0,0,0,1,0,0,0,0,0
SEC6-86,21,1,0,0,0,1,0,0,0,0,0
SEC4-28,195,1,0,0,0,1,0,0,0,0,0
SEC38-68,1,1,0,0,0,1,0,0,0,0,0
SEC3323A2,185,1,0,0,0,1,0,0,0,0,0
SEC30-62,173,1,0,0,0,1,0,0,0,0,0
SEC3-22,197,1,0,0,0,1,0,0,0,0,0
SEC3-17,197,1,0,0,0,1,0,0,0,0,0
SEC24-37,650,1,0,0,0,1,0,0,0,0,0
SEC201(E)(1B),810,1,100,0,1,0,0,0,0,0,0
SEC12VACS-61,33,1,100,0,1,0,0,0,0,0,0
SEC106-227,1,1,0,0,0,1,0,0,0,0,0
SEC10.42,127,1,0,0,0,1,0,0,0,0,0
SEC10-96,1,1,0,0,0,1,0,0,0,0,0
SEC10-28,1,1,0,0,0,1,0,0,0,0,0
SEC.3.1,195,1,0,0,0,1,0,0,0,0,0
SEC.3-32-,73,1,0,0,0,1,0,0,0,0,0
SEC.3-19,197,1,0,0,0,1,0,0,0,0,0
SEC.20-51,195,2,50,0,1,1,0,0,0,0,0
SEC.13..CHP.17,195,1,0,0,0,1,0,0,0,0,0
SEC.07-5ART.5.1,197,1,0,0,0,1,0,0,0,0,0
SEC. 86-8,109,1,0,0,0,1,0,0,0,0,0
SEC. 7-76,121,1,0,100,0,0,1,0,0,0,0
SEC. 7-104,3,1,0,0,0,1,0,0,0,0,0
SEC. 6.03 (G),710,1,0,0,0,1,0,0,0,0,0
SEC. 6-3,45,2,0,0,0,2,0,0,0,0,0
SEC. 42-32,145,1,0,0,0,1,0,0,0,0,0
SEC. 4.01,119,1,100,0,1,0,0,0,0,0,0
SEC. 4-40,195,1,0,0,0,1,0,0,0,0,0
SEC. 30-32,191,1,0,0,0,1,0,0,0,0,0
SEC. 26-144,193,1,0,0,0,1,0,0,0,0,0
SEC. 22-51,193,1,0,0,0,1,0,0,0,0,0
SEC. 22-4-2.1.,65,1,0,0,0,1,0,0,0,0,0
SEC. 20-51,195,1,100,0,1,0,0,0,0,0,0
SEC. 19-510,41,1,0,0,0,1,0,0,0,0,0
SEC. 18.30-1,73,1,0,0,0,1,0,0,0,0,0
SEC. 15-2,47,1,0,0,0,1,0,0,0,0,0
SEC. 14-61,79,1,0,0,0,1,0,0,0,0,0
SEC. 14-15,650,1,0,0,0,1,0,0,0,0,0
SEC. 12-3,73,2,0,0,0,2,0,0,0,0,0
SEC. 11-32,93,1,0,0,0,1,0,0,0,0,0
SEC. 104.. APP.A,810,1,0,0,0,1,0,0,0,0,0
SEC. 10-286,764,4,100,0,4,0,0,0,0,0,0
SEC. 10-228 (B),764,4,100,0,4,0,0,0,0,0,0
SEC. 10-146,764,2,100,0,2,0,0,0,0,0,0
SEC H14-83,105,1,0,0,0,1,0,0,0,0,0
SEC 9.9,197,1,0,0,0,1,0,0,0,0,0
SEC 8-4,93,1,0,0,0,1,0,0,0,0,0
SEC 8 PARA D,91,1,0,0,0,1,0,0,0,0,0
SEC 70-1,1,1,0,0,0,1,0,0,0,0,0
SEC 7.34.1,105,2,0,0,0,2,0,0,0,0,0
SEC 7-13,93,1,0,0,0,1,0,0,0,0,0
SEC 7-104,3,1,0,0,0,1,0,0,0,0,0
SEC 502 (A),810,2,0,0,0,2,0,0,0,0,0
SEC 501 APP A,810,1,0,0,0,1,0,0,0,0,0
SEC 5-1-ZONING,650,1,100,0,1,0,0,0,0,0,0
SEC 42.163,103,5,0,0,0,5,0,0,0,0,0
SEC 42-83,101,1,100,0,1,0,0,0,0,0,0
SEC 403 3-12,155,1,0,0,0,1,0,0,0,0,0
SEC 4.11.1,195,2,0,0,0,2,0,0,0,0,0
SEC 4.01,119,1,100,0,1,0,0,0,0,0,0
SEC 4-1,7,2,0,0,0,2,0,0,0,0,0
SEC 3323A2,185,1,0,0,0,1,0,0,0,0,0
SEC 3.3,121,1,0,0,0,1,0,0,0,0,0
SEC 3.1,195,1,0,0,0,1,0,0,0,0,0
SEC 3-61,183,1,0,0,0,1,0,0,0,0,0
SEC 3-46,73,1,0,0,0,1,0,0,0,0,0
SEC 221-APDX A,810,1,0,0,0,1,0,0,0,0,0
SEC 201/A/2,810,1,0,0,0,1,0,0,0,0,0
SEC 16-30,17,1,0,0,0,1,0,0,0,0,0
SEC 13.. CHAP 71,195,2,0,0,0,2,0,0,0,0,0
SEC 11-32,93,4,50,0,2,2,0,0,0,0,0
SEC 11-2,93,1,0,0,0,1,0,0,0,0,0
SEC 108.1,650,1,0,0,0,1,0,0,0,0,0
SEC 106-78,1,2,0,0,0,2,0,0,0,0,0
SEC 106-227,1,2,0,0,0,2,0,0,0,0,0
SEC 105.4,650,1,0,0,0,1,0,0,0,0,0
SEC 10-96,1,1,0,0,0,1,0,0,0,0,0
SEC 10-68,1,1,0,0,0,1,0,0,0,0,0
SEC 10-28,1,1,0,0,0,1,0,0,0,0,0
SEC 10-2,1,1,0,0,0,1,0,0,0,0,0
SCT 13.. CHAP 71,195,1,0,0,0,1,0,0,0,0,0
SCO96-3:A2:S1,169,2,0,0,0,2,0,0,0,0,0
SC2007-5 ART5.1,197,1,0,0,0,1,0,0,0,0,0
S1.1-2,711,1,100,0,1,0,0,0,0,0,0
S/C,109,4,100,0,4,0,0,0,0,0,0
S-71(X1),83,2,0,0,0,2,0,0,0,0,0
S-71,83,1,100,0,1,0,0,0,0,0,0
S-66,179,2,0,0,0,2,0,0,0,0,0
S-4A,51,2,0,0,0,2,0,0,0,0,0
S-4.A,51,1,0,0,0,1,0,0,0,0,0
S-4-A,51,1,0,0,0,1,0,0,0,0,0
S-106(X1),83,2,0,0,0,2,0,0,0,0,0
S-106,83,1,100,0,1,0,0,0,0,0,0
S 3A.3.2 ZON OR,85,2,0,0,0,2,0,0,0,0,0
RULE 4:15,730,2,100,0,2,0,0,0,0,0,0
RMC18-196,67,1,0,0,0,1,0,0,0,0,0
RMC 42-19(D),67,1,0,0,0,1,0,0,0,0,0
REINSTATED CASE,45,4,0,0,0,4,0,0,0,0,0
REG 111 SEC 11,99,1,0,0,0,1,0,0,0,0,0
RE:CR08T00411,700,1,100,0,1,0,0,0,0,0,0
RE:CR07060413,700,1,100,0,1,0,0,0,0,0,0
RE:61576-07,700,1,100,0,1,0,0,0,0,0,0
RE:1916-10,700,1,100,0,1,0,0,0,0,0,0
RE:01760-09,700,1,100,0,1,0,0,0,0,0,0
RE:01439-08,700,1,100,0,1,0,0,0,0,0,0
RE:01284-10,700,1,0,0,0,1,0,0,0,0,0
RE:01151-10,700,1,100,0,1,0,0,0,0,0,0
RE: T01028-00,700,1,100,0,1,0,0,0,0,0,0
RE: CR14C01750,700,1,100,0,1,0,0,0,0,0,0
RE: CR12T01786,700,1,100,0,1,0,0,0,0,0,0
RE: CR11T01653,700,1,100,0,1,0,0,0,0,0,0
RE: CR11C01340,700,1,100,0,1,0,0,0,0,0,0
RE: CR10C02248,700,1,0,0,0,0,0,0,0,0,1
RE: CR08T01150,700,1,0,0,0,1,0,0,0,0,0
RE: CR08T00734,700,2,50,0,1,0,0,0,0,1,0
RE: CR08C01550,700,1,100,0,1,0,0,0,0,0,0
RE: CR08002651,700,1,100,0,1,0,0,0,0,0,0
RE: CR08002367,700,1,100,0,1,0,0,0,0,0,0
RE: CR08002211,700,1,0,0,0,0,0,0,1,0,0
RE: CJ07037697,700,1,100,0,1,0,0,0,0,0,0
RE: CH0439451AF,700,1,0,0,0,1,0,0,0,0,0
RE: 62695-07,700,1,100,0,1,0,0,0,0,0,0
RE: 52247-03,700,3,33.33,0,1,2,0,0,0,0,0
RE: 3821-AF,700,1,100,0,1,0,0,0,0,0,0
RE: 17-01058,700,1,100,0,1,0,0,0,0,0,0
RE: 17-00765,700,1,100,0,1,0,0,0,0,0,0
RE: 13-001121,700,1,100,0,1,0,0,0,0,0,0
RE: 12-1656,700,2,100,0,2,0,0,0,0,0,0
RE: 1001-10,700,1,100,0,1,0,0,0,0,0,0
RE: 09-00296,700,1,0,0,0,1,0,0,0,0,0
RE: 0800488-VC,700,1,0,0,0,1,0,0,0,0,0
RE: 08-01631-VC,700,1,0,0,0,0,0,0,0,0,1
RE: 02664-08,700,2,50,0,1,1,0,0,0,0,0
RE: 02651-08,700,1,100,0,1,0,0,0,0,0,0
RE: 02622-08,700,1,100,0,1,0,0,0,0,0,0
RE: 02307-09,700,1,100,0,1,0,0,0,0,0,0
RE: 02290-08,700,1,100,0,1,0,0,0,0,0,0
RE: 02186-08,700,1,0,0,0,1,0,0,0,0,0
RE: 02157-08,700,1,0,0,0,1,0,0,0,0,0
RE: 02134-08,700,1,100,0,1,0,0,0,0,0,0
RE: 02099-09,700,1,0,0,0,1,0,0,0,0,0
RE: 02071-09,700,2,100,0,2,0,0,0,0,0,0
RE: 01695-09,700,1,100,0,1,0,0,0,0,0,0
RE: 01429-08,700,1,100,0,1,0,0,0,0,0,0
RE: 00989-10,700,1,100,0,1,0,0,0,0,0,0
RE: 00839-10,700,1,100,0,1,0,0,0,0,0,0
RE: 00822-10,700,1,100,0,1,0,0,0,0,0,0
RE: 00664-11,700,1,100,0,1,0,0,0,0,0,0
RE: 00472-12,700,1,100,0,1,0,0,0,0,0,0
RE: 00465-10,700,1,100,0,1,0,0,0,0,0,0
RE: 00408-13,700,1,100,0,1,0,0,0,0,0,0
RE: 00155-09,700,1,100,0,1,0,0,0,0,0,0
RE: 00135-13,700,1,100,0,1,0,0,0,0,0,0
RE; CR08T00734,700,1,0,0,0,0,0,0,0,1,0
RE; 37929-VC,700,1,0,0,0,0,0,0,0,1,0
RCCORD4-18,165,1,0,0,0,1,0,0,0,0,0
RC46.2-51,764,1,0,0,0,1,0,0,0,0,0
RAP1121F9,3,1,0,0,0,1,0,0,0,0,0
R703.8,93,1,0,0,0,1,0,0,0,0,0
R615760,153,1,100,0,1,0,0,0,0,0,0
QVAC20-610-60,119,1,0,0,0,1,0,0,0,0,0
Q3-35,87,1,100,0,1,0,0,0,0,0,0
PRFREGVI4B,179,1,100,0,1,0,0,0,0,0,0
PRFC SEC 1(A),179,1,0,0,0,1,0,0,0,0,0
PRFC 38-25.14,179,2,0,0,0,2,0,0,0,0,0
PM304.15,810,1,0,0,0,1,0,0,0,0,0
PM304.13,810,1,0,0,0,1,0,0,0,0,0
PM302.3,761,1,100,0,1,0,0,0,0,0,0
PM106.1,770,1,0,0,0,1,0,0,0,0,0
